,SMILES,Formula,Autocorrelation_descriptors_vector_2d,Autocorrelation_descriptors_vector_3d,CrippenDescriptors,ExactMolWt,FractionCSP3,HallKierAlpha,CalcKappa1,CalcKappa2,CalcKappa3
1,CC1C(C)C(C(CC#N)C=C)C1C,C12H19N,"[2.651, 2.843, 2.9, 2.793, 2.526, 1.872, 0.773, 0.0, 2.622, 2.819, 2.877, 2.742, 2.422, 1.663, 0.564, 0.0, 2.65, 2.843, 2.899, 2.792, 2.524, 1.869, 0.77, 0.0, 2.612, 2.811, 2.869, 2.725, 2.386, 1.584, 0.486, 0.0, 2.66, 2.85, 2.906, 2.808, 2.555, 1.927, 0.829, 0.0, 4.069, 4.025, 4.205, 4.337, 3.912, 3.35, 1.946, 0.0, 0.004, 0.004, 0.005, 0.006, 0.007, 0.006, 0.002, 0.0, 0.008, 0.009, 0.01, 0.013, 0.015, 0.013, 0.004, 0.0, 0.004, 0.004, 0.004, 0.006, 0.007, 0.006, 0.002, 0.0, 0.02, 0.022, 0.023, 0.031, 0.037, 0.032, 0.01, 0.0, 0.012, 0.014, 0.014, 0.019, 0.022, 0.019, 0.006, 0.0, 4.824, 7.78, 6.428, 16.956, 12.095, 10.787, 4.333, 0.0, -0.0, 0.016, 0.02, -0.061, -0.212, -0.567, -1.0, 0.0, 0.0, 0.016, 0.02, -0.061, -0.212, -0.567, -1.0, 0.0, -0.0, 0.016, 0.02, -0.061, -0.212, -0.567, -1.0, 0.0, 0.0, 0.016, 0.02, -0.061, -0.212, -0.567, -1.0, 0.0, -0.0, 0.016, 0.02, -0.061, -0.212, -0.567, -1.0, 0.0, -0.027, -0.182, 0.139, 0.214, -0.206, -0.86, -2.246, 0.0, 0.5, 0.406, 0.382, 0.867, 1.773, 3.9, 6.5, 0.0, 0.5, 0.406, 0.382, 0.867, 1.773, 3.9, 6.5, 0.0, 0.5, 0.406, 0.382, 0.867, 1.773, 3.9, 6.5, 0.0, 0.5, 0.406, 0.382, 0.867, 1.773, 3.9, 6.5, 0.0, 0.5, 0.406, 0.382, 0.867, 1.773, 3.9, 6.5, 0.0, 0.58, 0.692, 0.486, 0.778, 1.561, 3.266, 5.982, 0.0]",0,"(3.240380000000002, 54.899000000000036)",177.151749608,0.75,-0.77,10.31176614881439,3.958771807733209,1.6295824170246311
2,CCCN(N=C)C(C)C(=O)NO,C7H15N3O2,"[2.633, 2.796, 2.954, 2.801, 2.475, 1.819, 0.847, 0.0, 2.289, 2.423, 2.553, 2.451, 2.104, 1.362, 0.539, 0.0, 2.628, 2.792, 2.95, 2.797, 2.472, 1.815, 0.845, 0.0, 2.155, 2.258, 2.39, 2.314, 1.931, 1.095, 0.375, 0.0, 2.681, 2.834, 2.974, 2.821, 2.466, 1.778, 0.793, 0.0, 3.878, 4.439, 4.2, 4.148, 3.486, 2.708, 0.693, 0.0, 0.109, 0.137, 0.203, 0.153, 0.126, 0.075, 0.023, 0.0, 0.165, 0.198, 0.242, 0.203, 0.145, 0.072, 0.019, 0.0, 0.102, 0.129, 0.193, 0.145, 0.12, 0.072, 0.022, 0.0, 0.449, 0.55, 0.715, 0.582, 0.441, 0.235, 0.067, 0.0, 0.188, 0.213, 0.241, 0.202, 0.126, 0.053, 0.011, 0.0, 12.418, 20.135, 23.84, 23.938, 24.58, 12.222, 1.494, 0.0, 0.052, -0.233, 0.185, 0.168, -0.261, -1.181, -1.433, 0.0, 0.062, -0.376, 0.084, 0.318, -0.186, -1.088, -1.158, 0.0, 0.051, -0.227, 0.189, 0.161, -0.264, -1.179, -1.437, 0.0, 0.061, -0.316, 0.127, 0.265, -0.218, -1.16, -1.316, 0.0, 0.047, -0.486, 0.0, 0.36, -0.125, -0.779, -0.65, 0.0, -0.135, 0.331, -0.283, 0.081, -0.469, -0.463, 0.442, 0.0, 0.651, 0.98, 0.743, 0.733, 1.325, 2.583, 3.178, 0.0, 0.8, 1.226, 0.846, 0.605, 1.119, 2.098, 2.256, 0.0, 0.646, 0.97, 0.739, 0.74, 1.332, 2.596, 3.206, 0.0, 0.731, 1.12, 0.801, 0.651, 1.21, 2.338, 2.693, 0.0, 0.96, 1.434, 0.937, 0.564, 0.928, 1.468, 1.192, 0.0, 0.773, 0.501, 1.233, 0.824, 1.636, 1.765, 0.0, 0.0]",0,"(0.20789999999999986, 45.93720000000002)",173.11642672,0.7142857142857143,-1.1,10.900000000000002,5.537596214956571,2.874846022462606
3,CC(C=NN)C1CCC1C(O)=O,C8H14N2O2,"[2.653, 2.82, 2.823, 2.708, 2.397, 1.863, 1.413, 0.0, 2.465, 2.599, 2.575, 2.388, 1.93, 1.281, 0.734, 0.0, 2.65, 2.818, 2.821, 2.705, 2.393, 1.856, 1.406, 0.0, 2.391, 2.515, 2.459, 2.232, 1.671, 1.036, 0.45, 0.0, 2.666, 2.801, 2.816, 2.708, 2.398, 1.903, 1.416, 0.0, 4.019, 4.143, 4.06, 3.919, 3.951, 3.32, 2.197, 0.0, 0.111, 0.179, 0.152, 0.138, 0.111, 0.055, 0.042, 0.0, 0.134, 0.17, 0.164, 0.154, 0.124, 0.088, 0.061, 0.0, 0.105, 0.173, 0.145, 0.132, 0.106, 0.052, 0.039, 0.0, 0.392, 0.554, 0.507, 0.471, 0.377, 0.242, 0.174, 0.0, 0.137, 0.134, 0.143, 0.139, 0.111, 0.087, 0.052, 0.0, 8.591, 14.025, 15.469, 16.888, 21.148, 6.839, 7.333, 0.0, 0.072, 0.306, -0.245, -0.429, -0.858, 0.43, 1.29, 0.0, 0.199, 0.214, -0.256, -0.495, -0.99, 0.541, 1.95, 0.0, 0.068, 0.309, -0.244, -0.425, -0.85, 0.418, 1.249, 0.0, 0.14, 0.256, -0.257, -0.476, -0.951, 0.534, 1.755, 0.0, 0.348, 0.113, -0.224, -0.481, -0.962, 0.306, 1.809, 0.0, 0.017, -0.239, -0.142, -0.159, 0.102, 0.429, -0.755, 0.0, 0.589, 0.561, 1.066, 1.31, 1.965, 0.785, 0.781, 0.0, 0.542, 0.587, 1.052, 1.37, 2.056, 0.888, 0.055, 0.0, 0.59, 0.56, 1.066, 1.306, 1.959, 0.791, 0.826, 0.0, 0.568, 0.58, 1.066, 1.353, 2.029, 0.786, 0.269, 0.0, 0.455, 0.582, 0.972, 1.358, 2.036, 1.446, 0.21, 0.0, 0.544, 1.019, 0.951, 1.101, 1.21, 0.814, 2.868, 0.0]",0,"(0.6778, 45.69320000000001)",170.105527688,0.75,-1.06,9.031407678244971,3.559264205416041,1.571153344803631
4,CC=CC(N1CC1C)=C1CNN=C1,C10H15N3,"[2.785, 2.9, 2.762, 2.903, 2.708, 1.897, 0.0, 0.0, 2.593, 2.728, 2.624, 2.736, 2.53, 1.616, 0.0, 0.0, 2.782, 2.897, 2.76, 2.9, 2.705, 1.893, 0.0, 0.0, 2.527, 2.665, 2.575, 2.685, 2.464, 1.504, 0.0, 0.0, 2.84, 2.946, 2.801, 2.955, 2.756, 1.969, 0.0, 0.0, 4.432, 4.458, 4.374, 4.657, 4.304, 2.89, 0.0, 0.0, 0.053, 0.048, 0.038, 0.064, 0.04, 0.021, 0.0, 0.0, 0.112, 0.101, 0.08, 0.135, 0.084, 0.045, 0.0, 0.0, 0.049, 0.044, 0.035, 0.059, 0.037, 0.02, 0.0, 0.0, 0.268, 0.242, 0.192, 0.324, 0.202, 0.107, 0.0, 0.0, 0.161, 0.146, 0.116, 0.195, 0.122, 0.065, 0.0, 0.0, 17.059, 21.267, 16.541, 24.401, 24.114, 10.957, 0.0, 0.0, 0.052, -0.269, -0.164, 0.435, -0.3, -0.74, 0.0, 0.0, 0.052, -0.269, -0.164, 0.435, -0.3, -0.74, 0.0, 0.0, 0.052, -0.269, -0.164, 0.435, -0.3, -0.74, 0.0, 0.0, 0.052, -0.269, -0.164, 0.435, -0.3, -0.74, 0.0, 0.0, 0.052, -0.269, -0.164, 0.435, -0.3, -0.74, 0.0, 0.0, 0.021, -0.084, -0.133, 0.042, -0.038, -0.755, 0.0, 0.0, 0.929, 1.137, 0.929, 0.488, 1.2, 2.08, 0.0, 0.0, 0.929, 1.137, 0.929, 0.488, 1.2, 2.08, 0.0, 0.0, 0.929, 1.137, 0.929, 0.488, 1.2, 2.08, 0.0, 0.0, 0.929, 1.137, 0.929, 0.488, 1.2, 2.08, 0.0, 0.0, 0.929, 1.138, 0.929, 0.488, 1.2, 2.08, 0.0, 0.0, 0.793, 0.91, 0.905, 0.919, 1.152, 1.997, 0.0, 0.0]",0,"(1.1097000000000001, 54.502700000000026)",177.12659748,0.5,-1.25,8.352845059592465,3.2435528664947433,1.5902366863905326
5,NC(=O)CC(NC(=S)N1CC1)C#C,C8H11N3OS,"[2.833, 3.043, 3.061, 2.949, 2.872, 2.68, 1.791, 0.0, 2.522, 2.558, 2.626, 2.524, 2.471, 2.062, 1.373, 0.0, 2.732, 2.844, 2.804, 2.763, 2.671, 2.357, 1.788, 0.0, 2.473, 2.49, 2.65, 2.51, 2.46, 2.009, 1.15, 0.0, 2.765, 2.873, 2.816, 2.782, 2.669, 2.354, 1.792, 0.0, 4.065, 4.427, 4.249, 4.51, 3.794, 3.945, 2.833, 0.0, 0.527, 0.345, 1.058, 0.8, 0.791, 0.397, 0.064, 0.0, 0.118, 0.233, 0.146, 0.171, 0.121, 0.188, 0.051, 0.0, 0.079, 0.098, 0.075, 0.093, 0.08, 0.054, 0.048, 0.0, 0.265, 0.8, 0.373, 0.478, 0.306, 0.805, 0.12, 0.0, 0.151, 0.236, 0.169, 0.187, 0.134, 0.152, 0.053, 0.0, 12.314, 26.176, 21.667, 22.568, 19.568, 15.455, 16.155, 0.0, -0.038, 0.048, -0.261, -0.159, -0.197, 0.204, -0.057, 0.0, -0.192, -0.162, -0.071, 0.314, -0.116, -0.086, -0.688, 0.0, -0.252, 0.181, -0.275, 0.138, -0.359, 0.674, -1.197, 0.0, -0.084, -0.24, 0.017, 0.25, -0.028, -0.466, -0.369, 0.0, -0.296, -0.07, -0.2, 0.301, -0.183, 0.311, -0.765, 0.0, -0.043, -0.21, -0.343, 0.279, -0.145, 0.346, -0.711, 0.0, 0.566, 0.813, 1.481, 1.07, 1.181, 1.223, 0.166, 0.0, 0.9, 1.121, 0.961, 0.633, 0.974, 1.279, 1.75, 0.0, 0.949, 0.746, 0.919, 0.796, 1.266, 0.566, 3.07, 0.0, 0.681, 1.15, 0.972, 0.692, 0.943, 1.77, 1.242, 0.0, 1.135, 1.095, 1.078, 0.645, 0.968, 0.754, 1.699, 0.0, 0.67, 1.181, 1.095, 0.625, 1.003, 0.831, 2.654, 0.0]",0,"(-0.9462999999999997, 53.73910000000001)",197.062282972,0.5,-1.28,9.805324232081912,4.098474447875998,3.298546963722653
6,CC1CCC2=C1N=C(O2)C(N)=N,C8H11N3O,"[2.73, 3.124, 2.944, 2.398, 2.037, 1.734, 0.0, 0.0, 2.523, 2.836, 2.56, 2.169, 1.797, 1.394, 0.0, 0.0, 2.727, 3.121, 2.939, 2.395, 2.033, 1.73, 0.0, 0.0, 2.434, 2.719, 2.41, 2.074, 1.705, 1.253, 0.0, 0.0, 2.746, 3.149, 2.983, 2.431, 2.1, 1.819, 0.0, 0.0, 3.727, 4.183, 3.844, 2.971, 2.335, 1.609, 0.0, 0.0, 0.097, 0.167, 0.155, 0.064, 0.037, 0.027, 0.0, 0.0, 0.137, 0.238, 0.229, 0.099, 0.067, 0.053, 0.0, 0.0, 0.092, 0.157, 0.146, 0.061, 0.034, 0.025, 0.0, 0.0, 0.38, 0.66, 0.631, 0.265, 0.17, 0.131, 0.0, 0.0, 0.151, 0.26, 0.253, 0.116, 0.089, 0.072, 0.0, 0.0, 1.016, 5.35, 9.273, 1.308, 1.38, 1.853, 0.0, 0.0, -0.202, -0.047, 0.248, -0.255, -0.255, -0.595, 0.0, 0.0, -0.201, 0.012, 0.382, -0.324, -0.454, -0.928, 0.0, 0.0, -0.201, -0.05, 0.24, -0.25, -0.245, -0.578, 0.0, 0.0, -0.206, -0.01, 0.341, -0.302, -0.38, -0.809, 0.0, 0.0, -0.171, 0.046, 0.405, -0.337, -0.561, -1.085, 0.0, 0.0, -0.004, 0.191, -0.765, -0.21, 0.137, 0.744, 0.0, 0.0, 1.032, 1.059, 0.968, 0.995, 0.748, 1.122, 0.0, 0.0, 0.977, 0.908, 0.73, 1.122, 1.25, 1.875, 0.0, 0.0, 1.034, 1.066, 0.982, 0.988, 0.724, 1.086, 0.0, 0.0, 1.006, 0.966, 0.81, 1.079, 1.059, 1.589, 0.0, 0.0, 0.901, 0.812, 0.65, 1.167, 1.55, 2.325, 0.0, 0.0, 0.777, 0.835, 2.062, 0.775, 0.355, 0.0, 0.0, 0.0]",0,"(1.0083700000000002, 44.255100000000006)",165.090211972,0.5,-1.32,7.3356108087821355,2.333190966605925,0.9130168005843681
7,NC(CC=O)=C1CON=C1N,C6H9N3O2,"[2.619, 2.844, 2.722, 2.627, 1.992, 1.772, 0.0, 0.0, 2.327, 2.526, 2.353, 2.101, 1.539, 0.953, 0.0, 0.0, 2.616, 2.841, 2.718, 2.621, 1.988, 1.765, 0.0, 0.0, 2.205, 2.387, 2.191, 1.873, 1.285, 0.574, 0.0, 0.0, 2.628, 2.876, 2.755, 2.671, 1.975, 1.72, 0.0, 0.0, 4.162, 3.901, 3.822, 3.814, 3.905, 3.98, 0.0, 0.0, 0.137, 0.164, 0.134, 0.118, 0.085, 0.079, 0.0, 0.0, 0.174, 0.217, 0.19, 0.169, 0.088, 0.07, 0.0, 0.0, 0.13, 0.155, 0.126, 0.111, 0.081, 0.076, 0.0, 0.0, 0.506, 0.616, 0.53, 0.469, 0.278, 0.238, 0.0, 0.0, 0.167, 0.233, 0.201, 0.182, 0.073, 0.04, 0.0, 0.0, 17.45, 19.139, 18.71, 22.01, 14.793, 14.189, 0.0, 0.0, 0.014, -0.193, -0.198, -0.021, -1.031, 1.597, 0.0, 0.0, 0.037, -0.201, -0.32, 0.186, -1.048, 1.374, 0.0, 0.0, 0.012, -0.191, -0.194, -0.03, -1.025, 1.596, 0.0, 0.0, 0.034, -0.206, -0.268, 0.101, -1.071, 1.528, 0.0, 0.0, 0.012, -0.146, -0.417, 0.332, -0.848, 0.78, 0.0, 0.0, 0.26, -0.082, -0.014, -0.445, -0.598, 0.132, 0.0, 0.0, 0.833, 0.928, 0.956, 0.916, 2.139, 0.506, 0.0, 0.0, 0.833, 1.033, 1.158, 0.764, 1.946, 0.034, 0.0, 0.0, 0.833, 0.922, 0.948, 0.924, 2.141, 0.536, 0.0, 0.0, 0.833, 0.999, 1.072, 0.819, 2.057, 0.17, 0.0, 0.0, 0.833, 1.043, 1.321, 0.711, 1.584, 0.116, 0.0, 0.0, 0.367, 0.618, 0.667, 1.43, 2.15, 3.082, 0.0, 0.0]",0,"(-0.9094, 39.468800000000016)",155.069476528,0.3333333333333333,-1.5199999999999998,7.585485232067512,3.0462804076265617,1.4859491617090321
8,CC1C2C(NN=CC1(C)C2=O)C#C,C10H12N2O,"[2.774, 3.113, 3.326, 2.859, 1.846, 0.693, 0.0, 0.0, 2.625, 2.956, 3.076, 2.529, 1.743, 0.693, 0.0, 0.0, 2.772, 3.111, 3.323, 2.855, 1.845, 0.693, 0.0, 0.0, 2.572, 2.892, 2.967, 2.396, 1.696, 0.693, 0.0, 0.0, 2.801, 3.13, 3.348, 2.874, 1.826, 0.693, 0.0, 0.0, 4.399, 4.802, 5.084, 4.777, 2.818, 0.693, 0.0, 0.0, 0.066, 0.092, 0.139, 0.133, 0.025, 0.003, 0.0, 0.0, 0.103, 0.126, 0.189, 0.174, 0.027, 0.004, 0.0, 0.0, 0.062, 0.087, 0.132, 0.126, 0.024, 0.002, 0.0, 0.0, 0.274, 0.355, 0.534, 0.504, 0.084, 0.01, 0.0, 0.0, 0.127, 0.136, 0.203, 0.165, 0.024, 0.004, 0.0, 0.0, 15.167, 26.902, 41.838, 32.429, 13.853, 2.467, 0.0, 0.0, 0.094, -0.12, -0.336, 0.198, -0.077, 0.258, 0.0, 0.0, 0.203, -0.15, -0.398, 0.204, 0.011, 0.298, 0.0, 0.0, 0.089, -0.118, -0.332, 0.195, -0.08, 0.256, 0.0, 0.0, 0.157, -0.14, -0.38, 0.22, -0.027, 0.287, 0.0, 0.0, 0.298, -0.157, -0.399, 0.093, 0.091, 0.292, 0.0, 0.0, 0.015, -0.055, -0.2, -0.007, -0.306, 0.829, 0.0, 0.0, 0.539, 0.818, 1.311, 1.257, 1.005, 0.0, 0.0, 0.0, 0.556, 0.893, 1.393, 1.123, 0.638, 0.0, 0.0, 0.0, 0.538, 0.814, 1.306, 1.266, 1.019, 0.0, 0.0, 0.0, 0.552, 0.866, 1.365, 1.159, 0.794, 0.0, 0.0, 0.0, 0.554, 0.929, 1.42, 1.142, 0.319, 0.0, 0.0, 0.0, 0.603, 0.786, 1.132, 1.382, 1.467, 0.0, 0.0, 0.0]",0,"(0.41850000000000015, 50.016700000000014)",176.094963004,0.6,-1.3,8.305121210242419,2.3495600830824523,0.8059419438943565
9,CC1NC1C12NC1C1CCOC2O1,C9H14N2O2,"[2.944, 3.23, 3.211, 2.726, 2.197, 1.099, 0.0, 0.0, 2.701, 2.938, 2.849, 2.378, 1.938, 1.099, 0.0, 0.0, 2.942, 3.227, 3.207, 2.722, 2.194, 1.099, 0.0, 0.0, 2.589, 2.81, 2.69, 2.236, 1.818, 1.099, 0.0, 0.0, 2.944, 3.217, 3.219, 2.735, 2.197, 1.099, 0.0, 0.0, 4.41, 4.666, 4.992, 4.407, 3.178, 1.099, 0.0, 0.0, 0.153, 0.257, 0.227, 0.135, 0.071, 0.012, 0.0, 0.0, 0.171, 0.255, 0.279, 0.171, 0.079, 0.013, 0.0, 0.0, 0.146, 0.246, 0.215, 0.128, 0.067, 0.011, 0.0, 0.0, 0.521, 0.815, 0.822, 0.502, 0.241, 0.04, 0.0, 0.0, 0.154, 0.21, 0.266, 0.156, 0.071, 0.012, 0.0, 0.0, 13.837, 20.889, 29.014, 17.345, 12.068, 3.942, 0.0, 0.0, -0.24, -0.026, -0.08, 0.084, -0.329, 0.383, 0.0, 0.0, -0.275, -0.129, 0.031, 0.147, -0.377, 0.44, 0.0, 0.0, -0.237, -0.021, -0.084, 0.079, -0.326, 0.38, 0.0, 0.0, -0.265, -0.088, -0.016, 0.132, -0.363, 0.423, 0.0, 0.0, -0.268, -0.194, 0.119, 0.099, -0.367, 0.428, 0.0, 0.0, -0.142, -0.279, 0.239, -0.05, -0.672, 1.07, 0.0, 0.0, 1.037, 0.988, 1.078, 0.899, 1.186, 0.0, 0.0, 0.0, 1.08, 1.029, 0.995, 0.88, 1.234, 0.0, 0.0, 0.0, 1.035, 0.986, 1.082, 0.902, 1.183, 0.0, 0.0, 0.0, 1.068, 1.017, 1.027, 0.873, 1.22, 0.0, 0.0, 0.0, 1.071, 1.02, 0.952, 0.986, 1.224, 0.0, 0.0, 0.0, 0.905, 1.039, 0.814, 1.128, 1.701, 0.0, 0.0, 0.0]",0,"(-0.7974999999999994, 45.270400000000016)",182.105527688,1.0,-0.16,7.173945515763697,1.9312800033759696,0.6873381227330849
10,C1CN1C1C2OC2CCN2CC12,C9H14N2O,"[2.871, 2.852, 3.102, 2.786, 1.609, 0.0, 0.0, 0.0, 2.637, 2.671, 2.867, 2.461, 1.609, 0.0, 0.0, 0.0, 2.869, 2.85, 3.099, 2.783, 1.609, 0.0, 0.0, 0.0, 2.538, 2.596, 2.778, 2.317, 1.609, 0.0, 0.0, 0.0, 2.899, 2.867, 3.127, 2.794, 1.609, 0.0, 0.0, 0.0, 3.892, 3.839, 4.086, 3.541, 1.609, 0.0, 0.0, 0.0, 0.089, 0.083, 0.132, 0.117, 0.012, 0.0, 0.0, 0.0, 0.126, 0.111, 0.19, 0.148, 0.016, 0.0, 0.0, 0.0, 0.084, 0.079, 0.125, 0.111, 0.012, 0.0, 0.0, 0.0, 0.349, 0.315, 0.526, 0.432, 0.047, 0.0, 0.0, 0.0, 0.138, 0.117, 0.209, 0.142, 0.017, 0.0, 0.0, 0.0, 3.714, 4.165, 5.307, 6.78, 2.007, 0.0, 0.0, 0.0, -0.286, -0.172, 0.106, -0.176, 0.286, 0.0, 0.0, 0.0, -0.365, -0.198, 0.179, -0.175, 0.331, 0.0, 0.0, 0.0, -0.282, -0.17, 0.102, -0.176, 0.283, 0.0, 0.0, 0.0, -0.339, -0.191, 0.153, -0.172, 0.319, 0.0, 0.0, 0.0, -0.385, -0.195, 0.206, -0.193, 0.324, 0.0, 0.0, 0.0, 0.159, -0.163, -0.138, -0.552, 0.967, 0.0, 0.0, 0.0, 1.101, 0.943, 0.806, 1.54, 0.0, 0.0, 0.0, 0.0, 1.264, 0.976, 0.774, 1.362, 0.0, 0.0, 0.0, 0.0, 1.093, 0.941, 0.808, 1.549, 0.0, 0.0, 0.0, 0.0, 1.202, 0.967, 0.783, 1.431, 0.0, 0.0, 0.0, 0.0, 1.357, 0.971, 0.779, 1.253, 0.0, 0.0, 0.0, 0.0, 0.618, 0.912, 0.964, 1.902, 0.0, 0.0, 0.0, 0.0]",0,"(-0.4741000000000002, 44.00000000000002)",166.110613068,1.0,-0.12,6.351383975026014,1.862405045888292,0.7665601715340937
