,SMILES,Formula,Total Molecular Weight,Isomers,Total Isomers in SMILES,Number of Atoms,Number of Aromatic Atoms,Fraction csp3,Rotatable Bonds,NumHAcceptors,NumHDonors,Total Molar Refractivity,tPSA,LogP,Hetro Atoms,Number of Rings,Total Carbon,Synthetic Accessibility
1,CC1C(C)C(C(CC#N)C=C)C1C,C12H19N,177.151749608,13,6,"C=C[C@H](CC#N)C1[C@H](C)C(C)[C@H]1C , C=C[C@H](CC#N)C1[C@H](C)C(C)[C@@H]1C , C=C[C@H](CC#N)C1[C@@H](C)C(C)[C@@H]1C , C=C[C@@H](CC#N)C1[C@H](C)C(C)[C@H]1C , C=C[C@@H](CC#N)C1[C@H](C)C(C)[C@@H]1C , C=C[C@@H](CC#N)C1[C@@H](C)C(C)[C@@H]1C , ",0,0.75,3,1,0,54.899000000000036,23.79,3.240380000000002,1,1,12,4.66839747555795
2,CCCN(N=C)C(C)C(=O)NO,C7H15N3O2,173.11642672,12,2,"C=NN(CCC)[C@H](C)C(=O)NO , C=NN(CCC)[C@@H](C)C(=O)NO , ",0,0.7142857142857143,5,4,2,45.93720000000002,64.93,0.20789999999999986,5,0,7,3.9809776348085855
3,CC(C=NN)C1CCC1C(O)=O,C8H14N2O2,170.105527688,12,16,"C[C@H](/C=N\N)[C@H]1CC[C@H]1C(=O)O , C[C@H](/C=N\N)[C@H]1CC[C@@H]1C(=O)O , C[C@H](/C=N\N)[C@@H]1CC[C@H]1C(=O)O , C[C@H](/C=N\N)[C@@H]1CC[C@@H]1C(=O)O , C[C@H](/C=N/N)[C@H]1CC[C@H]1C(=O)O , C[C@H](/C=N/N)[C@H]1CC[C@@H]1C(=O)O , C[C@H](/C=N/N)[C@@H]1CC[C@H]1C(=O)O , C[C@H](/C=N/N)[C@@H]1CC[C@@H]1C(=O)O , C[C@@H](/C=N\N)[C@H]1CC[C@H]1C(=O)O , C[C@@H](/C=N\N)[C@H]1CC[C@@H]1C(=O)O , C[C@@H](/C=N\N)[C@@H]1CC[C@H]1C(=O)O , C[C@@H](/C=N\N)[C@@H]1CC[C@@H]1C(=O)O , C[C@@H](/C=N/N)[C@H]1CC[C@H]1C(=O)O , C[C@@H](/C=N/N)[C@H]1CC[C@@H]1C(=O)O , C[C@@H](/C=N/N)[C@@H]1CC[C@H]1C(=O)O , C[C@@H](/C=N/N)[C@@H]1CC[C@@H]1C(=O)O , ",0,0.75,3,3,2,45.69320000000001,75.68,0.6778,4,1,8,4.3454606840157854
4,CC=CC(N1CC1C)=C1CNN=C1,C10H15N3,177.12659748,13,16,"C/C=C\C(=C1\C=NNC1)[N@]1C[C@H]1C , C/C=C\C(=C1\C=NNC1)[N@]1C[C@@H]1C , C/C=C\C(=C1\C=NNC1)[N@@]1C[C@H]1C , C/C=C\C(=C1\C=NNC1)[N@@]1C[C@@H]1C , C/C=C\C(=C1/C=NNC1)[N@]1C[C@H]1C , C/C=C\C(=C1/C=NNC1)[N@]1C[C@@H]1C , C/C=C\C(=C1/C=NNC1)[N@@]1C[C@H]1C , C/C=C\C(=C1/C=NNC1)[N@@]1C[C@@H]1C , C/C=C/C(=C1\C=NNC1)[N@]1C[C@H]1C , C/C=C/C(=C1\C=NNC1)[N@]1C[C@@H]1C , C/C=C/C(=C1\C=NNC1)[N@@]1C[C@H]1C , C/C=C/C(=C1\C=NNC1)[N@@]1C[C@@H]1C , C/C=C/C(=C1/C=NNC1)[N@]1C[C@H]1C , C/C=C/C(=C1/C=NNC1)[N@]1C[C@@H]1C , C/C=C/C(=C1/C=NNC1)[N@@]1C[C@H]1C , C/C=C/C(=C1/C=NNC1)[N@@]1C[C@@H]1C , ",0,0.5,2,3,1,54.502700000000026,27.4,1.1097000000000001,3,2,10,4.995676871928358
5,NC(=O)CC(NC(=S)N1CC1)C#C,C8H11N3OS,197.062282972,13,2,"C#C[C@H](CC(N)=O)NC(=S)N1CC1 , C#C[C@@H](CC(N)=O)NC(=S)N1CC1 , ",0,0.5,3,2,2,53.73910000000001,58.13,-0.9462999999999997,5,1,8,3.5240201964937965
6,CC1CCC2=C1N=C(O2)C(N)=N,C8H11N3O,165.090211972,12,2,"C[C@H]1CCc2oc(C(=N)N)nc21 , C[C@@H]1CCc2oc(C(=N)N)nc21 , ",5,0.5,1,3,2,44.255100000000006,75.9,1.0083700000000002,4,2,8,4.040239037921601
7,NC(CC=O)=C1CON=C1N,C6H9N3O2,155.069476528,11,2,"NC1=NOC/C1=C(\N)CC=O , NC1=NOC/C1=C(/N)CC=O , ",0,0.3333333333333333,2,5,2,39.468800000000016,90.7,-0.9094,5,1,6,4.439071105527999
8,CC1C2C(NN=CC1(C)C2=O)C#C,C10H12N2O,176.094963004,13,16,"C#C[C@H]1NN=C[C@]2(C)C(=O)[C@H]1[C@H]2C , C#C[C@H]1NN=C[C@]2(C)C(=O)[C@H]1[C@@H]2C , C#C[C@H]1NN=C[C@]2(C)C(=O)[C@@H]1[C@H]2C , C#C[C@H]1NN=C[C@]2(C)C(=O)[C@@H]1[C@@H]2C , C#C[C@H]1NN=C[C@@]2(C)C(=O)[C@H]1[C@H]2C , C#C[C@H]1NN=C[C@@]2(C)C(=O)[C@H]1[C@@H]2C , C#C[C@H]1NN=C[C@@]2(C)C(=O)[C@@H]1[C@H]2C , C#C[C@H]1NN=C[C@@]2(C)C(=O)[C@@H]1[C@@H]2C , C#C[C@@H]1NN=C[C@]2(C)C(=O)[C@H]1[C@H]2C , C#C[C@@H]1NN=C[C@]2(C)C(=O)[C@H]1[C@@H]2C , C#C[C@@H]1NN=C[C@]2(C)C(=O)[C@@H]1[C@H]2C , C#C[C@@H]1NN=C[C@]2(C)C(=O)[C@@H]1[C@@H]2C , C#C[C@@H]1NN=C[C@@]2(C)C(=O)[C@H]1[C@H]2C , C#C[C@@H]1NN=C[C@@]2(C)C(=O)[C@H]1[C@@H]2C , C#C[C@@H]1NN=C[C@@]2(C)C(=O)[C@@H]1[C@H]2C , C#C[C@@H]1NN=C[C@@]2(C)C(=O)[C@@H]1[C@@H]2C , ",0,0.6,0,3,1,50.016700000000014,41.46,0.41850000000000015,3,3,10,6.216111603206802
9,CC1NC1C12NC1C1CCOC2O1,C9H14N2O2,182.105527688,13,64,"C[C@H]1N[C@H]1[C@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@H]1N[C@@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@H]1[C@@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@@H]1[C@H]1CCO[C@@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@H]2O1 , C[C@@H]1N[C@@H]1[C@@]12N[C@@H]1[C@@H]1CCO[C@@H]2O1 , ",0,1.0,1,4,2,45.270400000000016,62.34,-0.7974999999999994,4,4,9,6.218127588455376
10,C1CN1C1C2OC2CCN2CC12,C9H14N2O,166.110613068,12,32,"C1C[N@]2C[C@H]2[C@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@]2C[C@H]2[C@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@]2C[C@H]2[C@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@]2C[C@H]2[C@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@]2C[C@H]2[C@@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@]2C[C@H]2[C@@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@]2C[C@H]2[C@@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@]2C[C@H]2[C@@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@]2C[C@@H]2[C@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@]2C[C@@H]2[C@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@]2C[C@@H]2[C@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@]2C[C@@H]2[C@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@]2C[C@@H]2[C@@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@]2C[C@@H]2[C@@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@]2C[C@@H]2[C@@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@]2C[C@@H]2[C@@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@@]2C[C@H]2[C@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@@]2C[C@H]2[C@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@@]2C[C@H]2[C@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@@]2C[C@H]2[C@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@@]2C[C@H]2[C@@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@@]2C[C@H]2[C@@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@@]2C[C@H]2[C@@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@@]2C[C@H]2[C@@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@@]2C[C@@H]2[C@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@@]2C[C@@H]2[C@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@@]2C[C@@H]2[C@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@@]2C[C@@H]2[C@H](N2CC2)[C@@H]2O[C@@H]12 , C1C[N@@]2C[C@@H]2[C@@H](N2CC2)[C@H]2O[C@H]12 , C1C[N@@]2C[C@@H]2[C@@H](N2CC2)[C@H]2O[C@@H]12 , C1C[N@@]2C[C@@H]2[C@@H](N2CC2)[C@@H]2O[C@H]12 , C1C[N@@]2C[C@@H]2[C@@H](N2CC2)[C@@H]2O[C@@H]12 , ",0,1.0,1,3,0,44.00000000000002,18.549999999999997,-0.4741000000000002,3,4,9,4.330673622378596
